#  theta  rho_center  rho_begin  rho_end  score
72.45 67.60760840175422 63.40811018090106 71.81181634872887 0.9121015378878236
126.45 62.17887710522894 57.97525698465998 66.38527141917642 0.8830314347806758
22.05 -63.08161371411189 -68.11538266714518 -58.12504105544386 0.8737139554915229
178.65 178.11243939515398 166.12974665169108 190.78544913278577 0.8707670500123101
175.95 -75.19702544293304 -80.35885946438131 -70.12125250540466 0.8555894213206214
43.650000000000006 -167.85416629729286 -181.53042995185575 -154.99950049249284 0.8481402948660882
99.0 0.7349913238203669 -10.93390176153746 12.05305471309129 0.8338563645707365
99.45 72.85798246710277 64.94014085950954 80.79082895038692 0.7911242397008249
117.89999999999999 -47.82070444993301 -56.85552677495071 -39.087086586717 0.7843035336984107
79.64999999999998 -43.71324885822946 -52.80838714188149 -34.91932489019796 0.7770625262918195
69.75 110.21080174099009 101.60748841946547 118.97053023881996 0.7318415419506152
36.0 90.5392066534786 83.06187316612701 98.15003302452098 0.723126997174315
162.9 79.26286354844126 71.87346461668444 86.77135644380986 0.7075367808434442
48.150000000000006 4.909515718911955 -3.398766084776821 13.103520396648966 0.6913235303724719
129.15 103.99227631792706 95.42274309146258 112.70831708869261 0.6910073213143387
84.15 -105.71231345681396 -123.2471432169881 -89.47665918302052 0.6801883015776902
150.3 -4.368203243676724 -12.733990932086007 3.869290738987471 0.6709510013468327
140.85 -67.1992959619908 -80.76309140362395 -54.31883638025776 0.6705742290970625
112.95 -109.39317028710704 -127.08087482945808 -93.03042287874828 0.65961661208745
57.150000000000006 -58.4443235349668 -71.82534884478227 -45.71264037439193 0.6355014563340139
1.8 49.42622291259174 32.397865523889834 67.1370332474201 0.601031632399418
