#  theta  rho_center  rho_begin  rho_end  score
168.75000000000003 -9.089868054914307 -13.491354349218414 -4.703526241821914 0.9442447360826111
98.10000000000001 -49.5601284979268 -54.96005901891467 -44.255110347310165 0.9355050172299295
58.95000000000001 207.37993437718848 201.04528596445098 213.88591193262786 0.9161970516540245
29.250000000000014 -163.64310019579062 -179.8916944821075 -148.46238022858935 0.8630536061782801
121.5 152.80867895564083 146.49189462969412 159.26326937914675 0.8466457520984204
39.6 -32.421820809361435 -38.587579762167834 -26.344678189230912 0.8368802191834849
165.59999999999997 -141.6526042113778 -155.7075510106562 -128.36455998003723 0.8122890697158531
121.49999999999997 -199.7885812944966 -220.17798657826364 -181.07329597087758 0.8110509483526039
152.1 158.81931965195403 142.77857207237116 175.9117166441014 0.7656058006989771
32.4 158.54798563227584 143.22480896802833 174.8182448345862 0.7592201186591788
79.2 76.27695205332401 68.22214580845696 84.39034533920945 0.7583206367622106
144.9 80.35375610282264 70.67898435783297 90.20021533555692 0.7014300490560378
48.15 70.36406115307223 60.92802701496613 79.90517555452821 0.6958829093594173
110.7 60.03074559400049 50.41415069595302 69.68048585753324 0.6884795834398925
13.5 -99.40583898301307 -115.71845696220153 -83.96866352275768 0.6872584352373848
172.8 138.04505166983762 127.47947349251466 149.05277224655427 0.6820499140296892
19.35 119.35737792041871 109.93877664392978 129.07752395387422 0.6740293525943959
85.49999999999997 -161.5930794807316 -185.21016334793313 -140.19691408723466 0.6600281833706196
135.45000000000002 -35.07048383325576 -44.42115781924562 -25.93996264569278 0.6533646085248095
15.749999999999988 -14.169021062856942 -23.863528519349313 -4.574110531340611 0.6438783541076208
76.50000000000003 -48.86329373074307 -66.40236127145948 -32.27599052935283 0.6201399855814158
65.69999999999999 -45.90377816606255 -57.55324286322091 -34.66390654385054 0.6047273522269042
